Structure,N2(30%),pmax,tau,ninc,F0
A10,47000.0,147.0,139.5,0,1
A12,1350000.0,89.83333333333333,85.25,0,1
A13,519000.0,98.0,93.0,0,1
A14,25000.0,147.0,139.5,0,1
A15,44000.0,147.0,139.5,0,1
A16,666000.0,98.0,93.0,0,1
A17,1050000.0,98.0,93.0,0,1
A18,940000.0,163.33333333333334,77.5,0,1
A19,450000.0,163.33333333333334,77.5,0,1
A5,1000000.0,81.66666666666667,77.5,0,1
A6,1383000.0,81.66666666666667,77.5,0,1
A7,933000.0,81.66666666666667,77.5,0,1
A8,61000.0,147.0,139.5,0,1
A9,42000.0,147.0,139.5,0,1
B1,59000.0,144.0,132.0,0,1
B10,74000.0,144.0,132.0,0,1
B11,125000.0,144.0,132.0,0,1
B12,148000.0,144.0,132.0,0,1
B14,583000.0,108.0,99.0,0,1
B2,67000.0,144.0,132.0,0,1
B20,57000.0,180.0,123.75,0,1
B21,133000.0,180.0,123.75,0,1
B22,80000.0,180.0,123.75,0,1
B27,62000.0,144.0,132.0,0,1
B28,60000.0,144.0,132.0,0,1
B29,116000.0,144.0,132.0,0,1
B3,79000.0,144.0,132.0,0,1
B30,634000.0,108.0,99.0,0,1
B4,97000.0,144.0,132.0,0,1
B5,73000.0,144.0,132.0,0,1
B6,64000.0,144.0,132.0,0,1
B7,160000.0,144.0,132.0,0,1
B8,467000.0,108.0,99.0,0,1
B9,440000.0,108.0,99.0,0,1
B15,107000.0,128.79999999999998,109.2,0,1
B16,497000.0,128.8,81.9,0,1
B17,132000.0,161.0,102.375,0,1
B18,148000.0,161.0,102.375,0,1
B24,211000.0,161.0,102.375,0,1
B25,134000.0,161.0,102.375,0,1
B26,129000.0,161.0,102.375,0,1
B32,980000.0,128.8,81.9,0,1
B33,717000.0,128.8,81.9,0,1
B34,937000.0,128.8,81.9,0,1
B35,334000.0,128.79999999999998,109.2,0,1
C1,102000.0,115.60000000000001,127.075,0,1
C10,466000.0,81.60000000000001,89.7,0,1
C11,99000.0,115.60000000000001,127.075,0,1
C12,555000.0,81.60000000000001,89.7,0,1
C13,87000.0,115.60000000000001,127.075,0,1
C14,25160000.0,81.60000000000001,89.7,0,1
C15,101000.0,115.60000000000001,127.075,0,1
C16,2500000.0,81.60000000000001,89.7,0,1
C17,1200000.0,88.40000000000002,97.17500000000001,0,1
C18,889000.0,88.40000000000002,97.17500000000001,0,1
C2,86000.0,115.60000000000001,127.075,0,1
C6,51600.0,115.60000000000001,127.075,0,1
C7,148000.0,115.60000000000001,127.075,0,1
C8,123000.0,115.60000000000001,127.075,0,1
C9,51000.0,115.60000000000001,127.075,0,1
T1,10622.0,0.0,250.0,0,1
T10,39574.0,0.0,187.5,0,1
T11,22090.0,0.0,187.5,0,1
T12,15134.0,0.0,187.5,0,1
T13,21056.0,0.0,187.5,0,1
T15,117000.0,0.0,160.0,0,1
T16,173200.0,0.0,160.0,0,1
T17,37500.0,0.0,183.75,0,1
T3,2444.0,0.0,250.0,0,1
T6,161680.0,0.0,145.0,0,1
T7,570580.0,0.0,145.0,0,1
T8,404200.0,0.0,145.0,0,1
T9,19552.0,0.0,187.5,0,1
CR19M2,631413.0,80.66666666666667,98.0,0,1
F10,550000.0,84.7,102.89999999999999,0,1
F11,574080.0,84.7,102.89999999999999,0,1
F13,601680.0,84.7,102.89999999999999,0,1
F26,956160.0,84.7,102.89999999999999,0,1
F27,827520.0,77.0,92.4,0,1
F28,704640.0,84.7,102.89999999999999,0,1
F29,268260.0,121.0,147.0,0,1
F30,130000.0,121.0,147.0,0,1
F31,144840.0,121.0,147.0,0,1
F32,241000.0,121.0,147.0,0,1
F33,275000.0,121.0,147.0,0,1
F36,112200.0,121.0,147.0,0,1
F37,326400.0,121.0,147.0,0,1
F39,224400.0,121.0,147.0,0,1
F40,198900.0,121.0,147.0,0,1
F41,71250.0,146.66666666666666,176.0,0,1
F42,83200.0,141.16666666666666,171.5,0,1
F44,21090.0,157.29999999999998,191.1,0,1
F45,42000.0,157.29999999999998,191.1,0,1
F46,60090.0,157.29999999999998,191.1,0,1
F47,35340.0,157.29999999999998,191.1,0,1
F48,54150.0,157.29999999999998,191.1,0,1
SCR10M1,47000.0,157.29999999999998,191.1,0,1
